country_code,total_arrivals_1995,total_arrivals_1996,total_arrivals_1997,total_arrivals_1998,total_arrivals_1999,total_arrivals_2000,total_arrivals_2001,total_arrivals_2002,total_arrivals_2003,total_arrivals_2004,total_arrivals_2005,total_arrivals_2006,total_arrivals_2007,total_arrivals_2008,total_arrivals_2009,total_arrivals_2010,total_arrivals_2011,total_arrivals_2012,total_arrivals_2013,total_arrivals_2014,total_arrivals_2015,total_arrivals_2016,total_arrivals_2017,total_arrivals_2018,total_arrivals_2019
KEN,974000.0,1003000.0,1001000.0,894000.0,969000.0,1037000.0,994000.0,1001000.0,1146000.0,1361000.0,1479000.0,1601000.0,1817000.0,1203000.0,1490000.0,1609000.0,1823000.0,1711000.0,1520000.0,1350000.0,1181000.0,1340000.0,1449000.0,2025000.0,2049000.0
KHM,220000.0,260000.0,219000.0,287000.0,368000.0,466000.0,605000.0,787000.0,701000.0,1055000.0,1422000.0,1700000.0,2015000.0,2125000.0,2162000.0,2508000.0,2882000.0,3584000.0,4210000.0,4503000.0,4775000.0,5012000.0,5602000.0,6201000.0,6611000.0
KNA,203000.0,172000.0,194000.0,250000.0,226000.0,247000.0,334000.0,240000.0,247000.0,383000.0,365000.0,350000.0,379000.0,533000.0,548000.0,624000.0,723000.0,666000.0,695000.0,818000.0,1036000.0,1055000.0,1194000.0,1278000.0,1107000.0
KOR,3753000.0,3684000.0,3908000.0,4250000.0,4660000.0,5322000.0,5147000.0,5347000.0,4753000.0,5818000.0,6023000.0,6155000.0,6448000.0,6891000.0,7818000.0,8798000.0,9795000.0,11140000.0,12176000.0,14202000.0,13232000.0,17242000.0,13336000.0,15347000.0,17503000.0
KWT,1443000.0,1565000.0,1638000.0,1763000.0,1884000.0,1944000.0,2072000.0,2316000.0,2602000.0,3056000.0,3474000.0,3899000.0,4482000.0,4736000.0,5088000.0,5208000.0,5574000.0,5729000.0,6217000.0,6528000.0,6941000.0,7055000.0,7407000.0,8508000.0,8565000.0
LAC,119235365.6,122623692.1,124665363.7,128891481.1,131298246.8,135859883.6,129692402.0,127956844.1,122151038.0,132586688.1,139070007.6,136406000.0,134874000.0,135432000.0,129554000.0,126818000.0,122833000.0,125957000.0,128467000.0,135328600.0,144150000.0,154632000.0,163005000.0,162546006.4,163166702.3
LAO,346000.0,403000.0,463000.0,500000.0,614000.0,737000.0,674000.0,736000.0,636000.0,895000.0,1095000.0,1215000.0,1624000.0,1737000.0,2008000.0,2513000.0,2724000.0,3330000.0,3779000.0,4159000.0,4684000.0,4239000.0,3869000.0,4186000.0,4791000.0
LBN,450000.0,424000.0,558000.0,631000.0,673000.0,742000.0,837000.0,956000.0,1016000.0,1278000.0,1140000.0,1063000.0,1017000.0,1333000.0,1844000.0,2168000.0,1655000.0,1366000.0,1274000.0,1355000.0,1518000.0,1688000.0,1857000.0,1964000.0,1936000.0
LCA,407000.0,422000.0,563000.0,629000.0,666000.0,727000.0,747000.0,648000.0,683000.0,791000.0,720000.0,670000.0,905000.0,925000.0,982000.0,984000.0,950000.0,889000.0,921000.0,987000.0,1031000.0,948000.0,1064000.0,1165000.0,1220000.0
LCN,140092253.2,144211135.1,147781555.8,152443170.8,154421744.1,161344137.8,155629695.2,152946908.7,148079418.8,161109650.7,167838543.4,165381571.5,164049415.9,165004333.0,158418000.4,157334945.7,155232839.5,159169038.3,162604211.8,171230247.4,182041193.4,193554774.9,202719237.7,201521995.8,201852567.1
LDC,5573482.003,6780741.025,7085834.622,7225413.964,8096912.622,8565514.595,8985153.763,9991864.36,9886452.226,11349692.08,13194289.19,14796722.43,17311748.9,18336402.41,18936267.34,20843524.12,23599037.47,26425771.78,29468424.8,32161212.3,34049200.35,33156098.93,35121503.46,39299842.59,41000895.37
LIE,59000.0,56000.0,57000.0,59000.0,60000.0,61599.998470000006,56500.0,48700.00076,49000.0,48500.0,49799.99924,54900.001529999994,72800.00305,72900.00153,66500.0,64300.00305,67000.0,62400.001529999994,59599.998470000006,61299.99924,56700.00076,69099.99847,79300.00305,85300.00305,98099.99847
LKA,414000.0,315000.0,384000.0,409000.0,465000.0,445000.0,397000.0,457000.0,583000.0,681000.0,669000.0,689000.0,592000.0,526000.0,538000.0,766000.0,976000.0,1133000.0,1415000.0,1665000.0,1993000.0,2168000.0,2248000.0,2521000.0,2027000.0
